,,,,FixedBlock,,,,,,,,,,
,,,,FixedBlock,,,,,,,Block,Block,KeyBlock,Block
FixedBlock,,,,FixedBlock,,,,,Block,,Block,Block,Block,
,,,,FixedBlock,,,,,,Block,Block,Block,,
,,,Block,,,,,,,,,,,
FixedBlock,FixedBlock,FixedBlock,,,,,,,,,Block,,,
,,,,,,FixedBlock,,,,,Block,,,
,,,,,,,,,,,,,,
,,,,FixedBlock,,,,,,,,Block,,
FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,FixedBlock,,FixedBlock
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,FixedBlock,,,,,,,,,,,

